[2026-05-14T08:48:00.847+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.850+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.852+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.854+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.857+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.859+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.862+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.864+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.867+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.869+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.871+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.873+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.877+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.880+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.882+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.884+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.886+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.889+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.892+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.895+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.897+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.899+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.901+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.904+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.906+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.909+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.912+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.914+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.916+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.918+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.921+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.923+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.926+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.928+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.930+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.933+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.935+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.939+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.942+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.944+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.946+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.948+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.952+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.967+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.981+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.985+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:01.021+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
